Player IGN,League Selection,Roughly how much have you spent on the game so far? (EUR/USD),Card status in Account (non-borrow) [SSR Rice Shower  - Power],Card status in Account (non-borrow) [SSR Super Creek - Stamina],Card status in Account (non-borrow) [SSR Kitasan Black - Speed],Card status in Account (non-borrow) [SSR Riko Kashimoto - Pal],Card status in Account (non-borrow) [R Riko Kashimoto - Pal],Card most frequently borrowed for Libra Cup (CM6) ace runs,Weekly Career Count,Select day,Long S aptitude affects,Turf G uma (e.g. Haru Urara) falling significantly behind everyone else in the race disables the gold recovery skill called,Libra Cup takes place at  ______ racecourse in _______ season,Libra Cup weather is ______ and the ground is ________ conditions,"Libra Cup race length is ______m, which is a ______________",Base speed for Libra Cup is,Which running style has the highest base target speed in the final leg and last spurt?,Which of these skills has the biggest full acceleration effect upon successfully triggering (ignore timing differences),End Closer only acceleration skill is called,Skill activation is determined by __________,Having 2 gold recovery skills on uma with 300 wit at the moment of making the skill checks gives approximately ____ % chance of activating both gold recovery skills,Having 2 gold recovery skills on uma with 500 wit at the moment of making the skill checks gives approximately ____ % chance of activating both gold recovery skills,"OPTIONAL BONUS QUESTION:
Libra constellation was invented by the __________ by detaching the giant scorpion claws from the Scorpius constellation and giving these scorpion claws to Virgo. This is why some of the stars that form the Libra constellation are/have been called ""Northern claw"", ""Southern claw"" and ""3rd star of the scorpion"".",Go to Submit page or fill in a different section of the survey before submitting?,How did you find out about this survey? (optional),"Star rating for filling this form (1=lowest, 5=highest) (optional)",Suggestions how to improve this form for future Champions Meeting data collection (optional),Consent,Day 1 - Team Comp 1 - Uma 1 - Name,Day 1 - Team Comp 1 - Uma 1 - Running Style,Day 1 - Team Comp 1 - Uma 1 - Role,Day 1 - Team Comp 1 - Uma 2 - Name,Day 1 - Team Comp 1 - Uma 2 - Running Style,Day 1 - Team Comp 1 - Uma 2 - Role,Day 1 - Team Comp 1 - Uma 3 - Name,Day 1 - Team Comp 1 - Uma 3 - Running Style,Day 1 - Team Comp 1 - Uma 3 - Role,Day 1 - Team Comp 1 - Number of attempts/races,Day 1 - Team Comp 1 - Number of wins,Day 1 - Add 2nd Team Comp?,Day 1 - Team Comp 2 - Uma 1 - Name,Day 1 - Team Comp 2 - Uma 1 - Running Style,Day 1 - Team Comp 2 - Uma 1 - Role,Day 1 - Team Comp 2 - Uma 2 - Name,Day 1 - Team Comp 2 - Uma 2 - Running Style,Day 1 - Team Comp 2 - Uma 2 - Role,Day 1 - Team Comp 2 - Uma 3 - Name,Day 1 - Team Comp 2 - Uma 3 - Running Style,Day 1 - Team Comp 2 - Uma 3 - Role,Day 1 - Team Comp 2 - Number of attempts/races,Day 1 - Team Comp 2 - Number of wins,Day 1 - How many team comps total?,Go to Submit page or fill in another day before submitting?,Was your Day 2 - Team Comp 1 the exact same three umas as your Day 1 - Team Comp 1?,Day 2 - Team Comp 1 - Uma 1 - Name,Day 2 - Team Comp 1 - Uma 1 - Running Style,Day 2 - Team Comp 1 - Uma 1 - Role,Day 2 - Team Comp 1 - Uma 2 - Name,Day 2 - Team Comp 1 - Uma 2 - Running Style,Day 2 - Team Comp 1 - Uma 2 - Role,Day 2 - Team Comp 1 - Uma 3 - Name,Day 2 - Team Comp 1 - Uma 3 - Running Style,Day 2 - Team Comp 1 - Uma 3 - Role,Day 2 - Team Comp 1 - Number of attempts/races played,Day 2 - Team Comp 1 - Number of wins,Day 2 - Add 2nd Team Comp?,Day 2 - Team Comp 2 - Uma 1 - Name,Day 2 - Team Comp 2 - Uma 1 - Running Style,Day 2 - Team Comp 2 - Uma 1 - Role,Day 2 - Team Comp 2 - Uma 2 - Name,Day 2 - Team Comp 2 - Uma 2 - Running Style,Day 2 - Team Comp 2 - Uma 2 - Role,Day 2 - Team Comp 2 - Uma 3 - Name,Day 2 - Team Comp 2 - Uma 3 - Running Style,Day 2 - Team Comp 2 - Uma 3 - Role,Day 2 - Team Comp 2 - Number of attempts/races,Day 2 - Team Comp 2 - Number of wins,Day 2 - How many team comps total?,Go to Submit page or fill in another day?,Was your Day 3 - Team Comp 1 the exact same three umas as your Day 2 - Team Comp 1?,A Group or B Group?,Day 3 - Team Comp 1 - Uma 1 - Name,Day 3 - Team Comp 1 - Uma 1 - Running Style,Day 3 - Team Comp 1 - Uma 1 - Role,Day 3 - Team Comp 1 - Uma 2 - Name,Day 3 - Team Comp 1 - Uma 2 - Running Style,Day 3 - Team Comp 1 - Uma 2 - Role,Day 3 - Team Comp 1 - Uma 3 - Name,Day 3 - Team Comp 1 - Uma 3 - Running Style,Day 3 - Team Comp 1 - Uma 3 - Role,Day 3 - Team Comp 1 - Number of attempts/races played,Day 3 - Team Comp 1 - Number of wins,Day 3 - Add 2nd Team Comp?,Day 3 - Team Comp 2 - Uma 1 - Name,Day 3 - Team Comp 2 - Uma 1 - Running Style,Day 3 - Team Comp 2 - Uma 1 - Role,Day 3 - Team Comp 2 - Uma 2 - Name,Day 3 - Team Comp 2 - Uma 2 - Running Style,Day 3 - Team Comp 2 - Uma 2 - Role,Day 3 - Team Comp 2 - Uma 3 - Name,Day 3 - Team Comp 2 - Uma 3 - Running Style,Day 3 - Team Comp 2 - Uma 3 - Role,Day 3 - Team Comp 2 - No. of attempts/races played,Day 3 - Team Comp 2 - Number of wins,Day 3 - How many team comps total?,Go to Submit page or fill in another day?,Was your Day 4 - Team Comp 1 the exact same three umas as your Day 3 - Team Comp 1?,A Group or B Group?,Day 4 - Team Comp 1 - Uma 1 - Name,Day 4 - Team Comp 1 - Uma 1 - Running Style,Day 4 - Team Comp 1 - Uma 1 - Role,Day 4 - Team Comp 1 - Uma 2 - Name,Day 4 - Team Comp 1 - Uma 2 - Running Style,Day 4 - Team Comp 1 - Uma 2 - Role,Day 4 - Team Comp 1 - Uma 3 - Name,Day 4 - Team Comp 1 - Uma 3 - Running Style,Day 4 - Team Comp 1 - Uma 3 - Role,Day 4 - Team Comp 1 - Number of attempts/races played,Day 4 - Team Comp 1 - Number of wins,Day 4 - Add 2nd Team Comp?,Day 4 - Team Comp 2 - Uma 1 - Name,Day 4 - Team Comp 2 - Uma 1 - Running Style,Day 4 - Team Comp 2 - Uma 1 - Role,Day 4 - Team Comp 2 - Uma 2 - Name,Day 4 - Team Comp 2 - Uma 2 - Running Style,Day 4 - Team Comp 2 - Uma 2 - Role,Day 4 - Team Comp 2 - Uma 3 - Name,Day 4 - Team Comp 2 - Uma 3 - Running Style,Day 4 - Team Comp 2 - Uma 3 - Role,Day 4 - Team Comp 2 - No. of attempts/races played,Day 4 - Team Comp 2 - Number of wins,Day 4 - How many team comps total?,Go to Submit page or fill in another day?,A or B Finals?,Finals - Team Comp - Uma 1 - Name,Finals - Team Comp - Uma 1 - Running Style,Finals - Team Comp - Uma 1 - Role,Finals - Team Comp - Uma 2 - Name,Finals - Team Comp - Uma 2 - Running Style,Finals - Team Comp - Uma 2 - Role,Finals - Team Comp - Uma 3 - Name,Finals - Team Comp - Uma 3 - Running Style,Finals - Team Comp - Uma 3 - Role,Upload results list screenshot or insert results list winner data manually?,Finals - Results List - Upload Screenshot,Finals - Winner - Own uma or Opponent's uma?,Finals - Winner - Name,Finals - Winner - Running Style,Finals - Winner - Time,Finals - Winner - No. ____ favorite (optional),Finals - Winner - Gate number (optional),Optional - Finals - Winner - Screenshot - Skills,Optional - Finals - Winner - Screenshot - Skills (Continued),Optional - Finals - Winner - Deck,Score,Email Address,Finals result?,Column 156
JohnnyZB,Graded (No Uma Restrictions),$101-500,0LB,None,3LB,0LB,1LB,SSR Stamina - Super Creek,6-10 (roughly 1 per day),Finals,Target speed for the last spurt mechanic only,Sleeping Lion,"Kyoto, Fall","sunny, firm","3000m, non-standard distance",19.0 m/s,End Closer,Nimble Navigator,Straightaway Spurt,Passing a BASE wit stat check BEFORE the race,50%,70%,,Submit data,MooMooCord Discord server - https://discord.gg/Hc7cP9GB,,,I accept these terms,Gold Ship,End Closer,Unity Cup Scenario Ace,Narita Taishin,End Closer,Unity Cup Scenario Ace,Mejiro McQueen,Pace Chaser,Unity Cup Scenario Ace,4 Attempts - 20 Races total,12,Go to Submit page,,,,,,,,,,,,,,Yes,,,,,,,,,,4 Attempts - 20 Races total,12,Go to Submit page,,,,,,,,,,,,,,Yes,A Group,,,,,,,,,,4 Attempts - 20 Races total,10,Go to Submit page,,,,,,,,,,,,,,Yes,A Group,,,,,,,,,,4 Attempts - 20 Races total,8,Go to Submit page,,,,,,,,,,,,,,A Finals,Narita Taishin,End Closer,Unity Cup Scenario Ace,Gold Ship,End Closer,Unity Cup Scenario Ace,Mejiro McQueen,Pace Chaser,Unity Cup Scenario Ace,Upload results list screenshot,https://drive.google.com/open?id=1GrF_FTXW8-u1eXe2Jcg4nB9BHnQZUYsD,,[Tach-nology] Agnes Tachyon,Pace,3:00.9,7,2,https://drive.google.com/open?id=1-b4iktheNyRMHJYTVz1KL7HK_fC2xzbb,https://drive.google.com/open?id=14t9sMM1LstjkNKhue751AvDvBuPFCT52,https://drive.google.com/open?id=18eikMy_LCN-jdbwTKxHKYERFnI1uIIxm,,,3rd,
Nanahara,Graded (No Uma Restrictions),$0,0LB,MLB,2LB,1LB,MLB,SSR Speed - Kitasan Black,21-30 (roughly 3-4 per day),Finals,,,,,,,,,,,,,,,MooMooCord Discord server - https://discord.gg/Hc7cP9GB,,,I accept these terms,Narita Taishin,End Closer,Unity Cup Scenario Ace,Oguri Cap,Pace Chaser,Oshi,Matikanefukukitaru,Late Surger,Oshi,4 Attempts - 20 Races total,14,Go to Submit page,,,,,,,,,,,,,,Yes,,,,,,,,,,4 Attempts - 20 Races total,12,Go to Submit page,,,,,,,,,,,,,,No,A Group,Narita Taishin,End Closer,Unity Cup Scenario Ace,Oguri Cap,Pace Chaser,Oshi,Mayano Top Gun,End Closer,Unity Cup Scenario Ace,4 Attempts - 20 Races total,10,Go to Submit page,,,,,,,,,,,,,,Yes,A Group,,,,,,,,,,4 Attempts - 20 Races total,8,Go to Submit page,,,,,,,,,,,,,,A Finals,Oguri Cap,Pace Chaser,Unity Cup Scenario Ace,Narita Taishin,End Closer,Unity Cup Scenario Ace,Mayano Top Gun,End Closer,Unity Cup Scenario Ace,Upload results list screenshot,https://drive.google.com/open?id=1s6fjwoMe9hEMsVuokv84NYHeEXA9sv8m,,[Starlight Beat] Oguri Cap,Pace,3:01.8,4,4,https://drive.google.com/open?id=1e8klhUMEmWI8hdCIAWEGX74qGVWwbFCH,,https://drive.google.com/open?id=1hO91RY-s3nqUl4ZYUaIbnISpzVFuJZXS,,,1st,
Nana,Graded (No Uma Restrictions),$1-100,0LB,0LB,3LB,2LB,MLB,SSR Power - Rice Shower,21-30 (roughly 3-4 per day),Finals,,,,,,,,,,,,,,,MooMooCord Discord server - https://discord.gg/Hc7cP9GB,5,,I accept these terms,Oguri Cap,End Closer,Unity Cup Scenario Ace,Gold Ship,End Closer,Unity Cup Scenario Ace,Mayano Top Gun,End Closer,Unity Cup Scenario Ace,4 Attempts - 20 Races total,16,Go to Submit page,,,,,,,,,,,,,,Yes,,,,,,,,,,4 Attempts - 20 Races total,15,Go to Submit page,,,,,,,,,,,,,,Yes,A Group,,,,,,,,,,4 Attempts - 20 Races total,13,Go to Submit page,,,,,,,,,,,,,,Yes,A Group,,,,,,,,,,4 Attempts - 20 Races total,11,Go to Submit page,,,,,,,,,,,,,,A Finals,Oguri Cap,End Closer,Unity Cup Scenario Ace,Gold Ship,End Closer,Unity Cup Scenario Ace,Mayano Top Gun,End Closer,Unity Cup Scenario Ace,Upload results list screenshot,https://drive.google.com/open?id=1RAKB5-xQRth_0WB9a1NQFqp3_9C6A10U,,[Emperor's Path] Symboli Rudolf,Late,3:02.3,5,7,,https://drive.google.com/open?id=1n7opO2jZv6srIAZ_d2rkZ7IrDHZWmVAX,https://drive.google.com/open?id=1vT6ys_mQo_0dBjPeCBPRYDMei0xM1Ydg,,,3rd,
Holic,Graded (No Uma Restrictions),$0,None,1LB,3LB,1LB,MLB,SSR Power - Rice Shower,11-20 (roughly 2-3 per day),Finals,Base target speed throughout the race,Sleeping Lion,"Kyoto, Fall","sunny, firm","3000m, non-standard distance",18.0 m/s,End Closer,Nimble Navigator,Straightaway Spurt,Passing a BASE wit stat check DURING the race,50%,70%,Greek,Go to Submit page,MooMooCord Discord server - https://discord.gg/Hc7cP9GB,5,,I accept these terms,Mejiro McQueen,Pace Chaser,Unity Cup Scenario Ace,Eishin Flash,Late Surger,Unity Cup Scenario Ace,Narita Taishin,End Closer,Unity Cup Scenario Ace,4 Attempts - 20 Races total,7,Go to Submit page,,,,,,,,,,,,,,Yes,,,,,,,,,,4 Attempts - 20 Races total,9,Go to Submit page,,,,,,,,,,,,,,Yes,A Group,,,,,,,,,,4 Attempts - 20 Races total,1,Go to Submit page,,,,,,,,,,,,,,Yes,A Group,,,,,,,,,,4 Attempts - 20 Races total,4,Go to Submit page,,,,,,,,,,,,,,A Finals,Mejiro Ryan,Pace Chaser,Unity Cup Scenario Ace,Eishin Flash,Late Surger,Unity Cup Scenario Ace,Narita Taishin,End Closer,Unity Cup Scenario Ace,Insert results list winner data manually,,Winner = Opponent's uma,Hishi Amazon,End Closer,3:02.3,,,,,,,,3rd,
Ketsura,Graded (No Uma Restrictions),$101-500,None,0LB,2LB,None,2LB,SSR Stamina - Super Creek,31-45 (roughly 5-6 per day),Finals,Base target speed throughout the race,Sleeping Lion,"Kyoto, Fall","sunny, firm","3000m, non-standard distance",18.0 m/s,End Closer,Straightaway Spurt,Straightaway Spurt,Passing a BASE wit stat check DURING the race,50%,70%,Egyptians,Go to Submit page,Umamusume: Pretty Derby Official Discord - https://discord.gg/CG4JUMvQ,,,I accept these terms,Oguri Cap,Pace Chaser,Unity Cup Scenario Ace,Daiwa Scarlet,Pace Chaser,Sacrifice to overtake,Narita Taishin,End Closer,Unity Cup Scenario Ace,3 Attempts - 15 Races total,7,Fill in another day before submitting,,,,,,,,,,,,,,Yes,,,,,,,,,,4 Attempts - 20 Races total,16,Go to Submit page,,,,,,,,,,,,,,Yes,A Group,,,,,,,,,,4 Attempts - 20 Races total,12,Go to Submit page,,,,,,,,,,,,,,Yes,A Group,,,,,,,,,,4 Attempts - 20 Races total,5,Go to Submit page,,,,,,,,,,,,,,A Finals,Daiwa Scarlet,Pace Chaser,Sacrifice to overtake,Oguri Cap,Pace Chaser,Unity Cup Scenario Ace,Narita Taishin,End Closer,Unity Cup Scenario Ace,Upload results list screenshot,https://drive.google.com/open?id=1cOvq6YlTNQSaOES7fY4MO_5P8QdCgbxD,,[Nevertheless] Narita Taishin,End,3:01.3,4,3,,https://drive.google.com/open?id=10Om3yMi8MnguyeQcx_s1Rt6i1ysvC3Ba,https://drive.google.com/open?id=1pJ_3OIg43kUgMgBXKL1Jyo_tGOdqGla1,,,1st,
Sparky,Graded (No Uma Restrictions),$1001-5000,2LB,MLB,MLB,MLB,MLB,SSR Speed - Biko Pegasus,31-45 (roughly 5-6 per day),Finals,Base target speed throughout the race,Sleeping Lion,"Kyoto, Fall","sunny, firm","3000m, non-standard distance",20.0 m/s,End Closer,Straightaway Spurt,Straightaway Spurt,Passing a MODIFIED wit stat check DURING the race,80%,90%,Greek,Go to Submit page,MooMooCord Discord server - https://discord.gg/Hc7cP9GB,5,,I accept these terms,Narita Taishin,End Closer,Unity Cup Scenario Ace,Special Week (Summer),End Closer,Unity Cup Scenario Ace,Narita Brian,End Closer,Unity Cup Scenario Ace,4 Attempts - 20 Races total,19,Fill in another day before submitting,,,,,,,,,,,,,,Yes,,,,,,,,,,4 Attempts - 20 Races total,19,Fill in another day before submitting,,,,,,,,,,,,,,Yes,A Group,,,,,,,,,,4 Attempts - 20 Races total,14,Go to Submit page,,,,,,,,,,,,,,Yes,A Group,,,,,,,,,,4 Attempts - 20 Races total,18,Go to Submit page,,,,,,,,,,,,,,A Finals,Narita Taishin,End Closer,Unity Cup Scenario Ace,Narita Brian,End Closer,Unity Cup Scenario Ace,Special Week (Summer),End Closer,Unity Cup Scenario Ace,Upload results list screenshot,https://drive.google.com/open?id=1G34ylx6NrfApo-l8lILY7A2hUTduis0h,,[Maverick] Narita Brian,End,3:02.0,3,2,https://drive.google.com/open?id=1hAQjczz2WouyR9_uZ3WvvSB0rIWvGcsP,,https://drive.google.com/open?id=1Kq2gGPoGmngnH7E94eSNtJTYatpVxthE,,,1st,
veee,Graded (No Uma Restrictions),$101-500,2LB,0LB,3LB,2LB,MLB,SSR Stamina - Super Creek,21-30 (roughly 3-4 per day),Finals,Base target speed throughout the race,Sleeping Lion,"Kyoto, Fall","sunny, firm","3000m, non-standard distance",21.0 m/s,End Closer,Ignited Spirit PWR,Straightaway Spurt,Passing a BASE wit stat check DURING the race,50%,70%,Egyptians,Go to Submit page,MooMooCord Discord server - https://discord.gg/Hc7cP9GB,5,no notes peak cinema,I accept these terms,Mayano Top Gun,End Closer,Unity Cup Scenario Ace,Narita Taishin,End Closer,Unity Cup Scenario Ace,Gold Ship,End Closer,Unity Cup Scenario Ace,4 Attempts - 20 Races total,14,Go to Submit page,,,,,,,,,,,,,,Yes,,,,,,,,,,4 Attempts - 20 Races total,11,Go to Submit page,,,,,,,,,,,,,,Yes,A Group,,,,,,,,,,4 Attempts - 20 Races total,10,Go to Submit page,,,,,,,,,,,,,,Yes,A Group,,,,,,,,,,4 Attempts - 20 Races total,5,Go to Submit page,,,,,,,,,,,,,,A Finals,Narita Taishin,End Closer,Unity Cup Scenario Ace,Mayano Top Gun,End Closer,Unity Cup Scenario Ace,Gold Ship,End Closer,Unity Cup Scenario Ace,Upload results list screenshot,https://drive.google.com/open?id=1JTBn4B0lPUjAbivZ41RX8qnGdscihpGN,,[Nevertheless] Narita Taishin,End,3:02.3,1,8,,,,,,2nd,
Mattipus,Graded (No Uma Restrictions),$101-500,0LB,3LB,0LB,MLB,MLB,SSR Speed - Kitasan Black,31-45 (roughly 5-6 per day),Finals,,,,,,,,,,,,,,,MooMooCord Discord server - https://discord.gg/Hc7cP9GB,4,,I accept these terms,Manhattan Cafe,End Closer,Unity Cup Scenario Ace,Agnes Tachyon,Pace Chaser,Unity Cup Scenario Ace,Gold Ship,End Closer,Unity Cup Scenario Ace,4 Attempts - 20 Races total,15,Go to Submit page,,,,,,,,,,,,,,Yes,,,,,,,,,,4 Attempts - 20 Races total,13,Go to Submit page,,,,,,,,,,,,,,Yes,A Group,,,,,,,,,,4 Attempts - 20 Races total,12,Go to Submit page,,,,,,,,,,,,,,Yes,A Group,,,,,,,,,,4 Attempts - 20 Races total,7,Go to Submit page,,,,,,,,,,,,,,A Finals,Manhattan Cafe,End Closer,Unity Cup Scenario Ace,Agnes Tachyon,Pace Chaser,Unity Cup Scenario Ace,Gold Ship,End Closer,Unity Cup Scenario Ace,Upload results list screenshot,https://drive.google.com/open?id=1P6QBGr-zSUcWqD0aa8C0oCcjyXPBEBK0,,[Red Strife] Gold Ship,End,3:00.5,5,1,https://drive.google.com/open?id=12iKhm2pQL-0kM45b0P80zdzAdcqNG38g,,https://drive.google.com/open?id=1d6W3rCJBCF-yzYSItUHLojQHYZeert1d,,,1st,
Mitty,Graded (No Uma Restrictions),$0,None,3LB,0LB,2LB,MLB,SSR Speed - Kitasan Black,31-45 (roughly 5-6 per day),Day 4,Target speed for the last spurt mechanic only,Sleeping Lion,"Kyoto, Fall","sunny, firm","3000m, non-standard distance",19.0 m/s,End Closer,Inherited version of Let's Pump Some Iron!,Straightaway Spurt,Passing a MODIFIED wit stat check DURING the race,70%,80%,Greek,Go to Submit page,Friend sent me the link,5,,I accept these terms,Gold Ship,End Closer,Unity Cup Scenario Ace,Mayano Top Gun,End Closer,Unity Cup Scenario Ace,Narita Brian,Pace Chaser,Unity Cup Scenario Ace,4 Attempts - 20 Races total,8,Fill in another day before submitting,,,,,,,,,,,,,,Yes,,,,,,,,,,4 Attempts - 20 Races total,10,Fill in another day before submitting,,,,,,,,,,,,,,Yes,A Group,,,,,,,,,,4 Attempts - 20 Races total,4,Fill in another day before submitting,,,,,,,,,,,,,,No,A Group,Gold Ship,End Closer,Unity Cup Scenario Ace,Mayano Top Gun,End Closer,Unity Cup Scenario Ace,Hishi Amazon,End Closer,Unity Cup Scenario Ace,4 Attempts - 20 Races total,6,Go to Submit page,,,,,,,,,,,,,,A Finals,Gold Ship,End Closer,Unity Cup Scenario Ace,Mayano Top Gun,End Closer,Unity Cup Scenario Ace,Hishi Amazon,End Closer,Unity Cup Scenario Ace,Upload results list screenshot,https://drive.google.com/open?id=1y6wSOOUkbEnCvhfcZMLgnHjQHbS1q-31,,[Red Strife] Gold Ship,End,3:01.1,4,3,https://drive.google.com/open?id=1N-1dg68pk1VD6M3q1esUe6Ta7kAna44R,,https://drive.google.com/open?id=1IwE1JzRT4ep-FhO3lu2tkO3LgsIwmryN,,,1st,
Soff,Graded (No Uma Restrictions),$0,0LB,MLB,None,3LB,MLB,SSR Speed - Kitasan Black,21-30 (roughly 3-4 per day),Finals,,,,,,,,,,,,,,,MooMooCord Discord server - https://discord.gg/Hc7cP9GB,,,I accept these terms,Narita Taishin,End Closer,URA Scenario Ace,Gold Ship,End Closer,URA Scenario Ace,Mayano Top Gun,End Closer,URA Scenario Ace,4 Attempts - 20 Races total,11,Go to Submit page,,,,,,,,,,,,,,Yes,,,,,,,,,,4 Attempts - 20 Races total,14,Go to Submit page,,,,,,,,,,,,,,Yes,A Group,,,,,,,,,,4 Attempts - 20 Races total,4,Go to Submit page,,,,,,,,,,,,,,Yes,A Group,,,,,,,,,,4 Attempts - 20 Races total,6,Go to Submit page,,,,,,,,,,,,,,A Finals,Narita Taishin,End Closer,Unity Cup Scenario Ace,Gold Ship,End Closer,Unity Cup Scenario Ace,Mayano Top Gun,End Closer,Unity Cup Scenario Ace,Insert results list winner data manually,,Winner = Opponent's uma,Gold Ship,End Closer,3:00.7,,,,,,,,3rd,
